"time,AccPedal"
"20.44766,43.6"
"20.46766,43.6"
"20.48766,43.6"
"20.50766,43.6"
"20.52766,43.6"
"20.54766,43.6"
"20.56766,43.6"
"20.58766,43.6"
"20.60766,43.2"
"20.62766,43.2"
"20.64766,43.2"
"20.66766,42.8"
"20.68766,42.4"
"20.70766,42"
"20.72766,42"
"20.74766,41.6"
"20.76766,41.2"
"20.78666,40.8"
"20.80666,40.4"
"20.82666,40.4"
"20.84666,40"
"20.86666,40"
"20.88766,40"
"20.90666,40"
"20.92666,40"
"20.94666,40"
"20.96666,40"
"20.98666,40"
"21.00666,40"
"21.02666,40"
"21.04666,40"
"21.06666,40"
"21.08666,40"
"21.10666,40"
"21.12666,40"
"21.14666,40"
"21.16666,40"
"21.18666,40"
"21.20666,40"
"21.22666,40"
"21.24666,40"
"21.26666,40"
"21.28666,40"
"21.30666,40"
"21.32666,40"
"21.34666,40"
"21.36666,40"
"21.38666,40"
"21.40666,39.6"
"21.42666,39.6"
"21.44666,39.6"
"21.46666,39.6"
"21.48666,39.6"
"21.50666,39.6"
"21.52666,39.6"
"21.54666,39.6"
"21.56666,39.6"
"21.58666,39.6"
"21.60666,39.6"
"21.62666,39.6"
"21.64666,39.6"
"21.66666,39.6"
"21.68666,39.6"
"21.70666,39.6"
"21.72666,39.6"
"21.74666,39.6"
"21.76666,39.6"
"21.78666,39.6"
"21.80666,39.6"
"21.82666,39.6"
"21.84666,39.6"
"21.86666,39.6"
"21.88666,39.6"
"21.90666,40"
"21.92666,40"
"21.94666,40"
"21.96666,40"
"21.98666,40.4"
"22.00666,40.8"
"22.02666,41.2"
"22.04666,41.6"
"22.06666,42.4"
"22.08666,42.8"
"22.10666,42.8"
"22.12666,43.2"
"22.14666,43.6"
"22.16666,43.6"
"22.18666,43.6"
"22.20666,44"
"22.22666,44"
"22.24666,44"
"22.26666,44"
"22.28566,43.2"
"22.30566,41.6"
"22.32566,38"
"22.34566,32.8"
"22.36666,26"
"22.38666,18.8"
"22.40666,12.8"
"22.42566,8.4"
"22.44566,5.6"
"22.46566,3.6"
"22.48666,0"
"22.50566,0"
"22.52566,0"
"22.54566,0"
"22.56566,0"
"22.58566,0"
"22.60566,0"
"22.62566,0"
"22.64566,0"
"22.66566,0"
