time,DegOfDev
29.57781,5.89
29.59781,5.95
29.61781,6.03
29.63781,6.1
29.65781,6.07
29.67781,6.07
29.69781,6.07
29.71781,6.03
29.73781,5.97
29.75781,6.05
29.77781,5.97
29.79781,5.93
29.81781,6.04
29.83781,5.99
29.85781,6.06
29.87781,6.15
29.89781,6.24
29.91781,6.24
29.93781,6.24
29.95781,6.24
29.97781,6.26
29.99781,6.36
30.01781,6.25
30.03781,6.24
30.05781,6.11
30.07781,6.04
30.09781,5.93
30.11781,5.79
30.13781,5.73
30.15781,5.67
30.17781,5.57
30.19781,5.43
30.21781,5.4
30.23781,5.4
30.25781,5.39
30.27781,5.38
30.29781,5.4
30.31781,5.39
30.33781,5.4
30.35781,5.4
30.37781,5.4
30.39781,5.4
30.41781,5.38
30.43781,5.36
30.45781,5.37
30.47781,5.22
30.49781,5.08
30.51781,4.98
30.53781,4.84
30.55781,4.73
30.57781,4.64
30.59781,4.56
30.61781,4.44
30.63781,4.38
30.65781,4.35
30.67781,4.3
30.69781,4.28
30.71781,4.21
30.73781,4.13
30.75781,4.09
30.77781,3.96
30.79781,3.92
30.81781,3.8
30.83781,3.67
30.85781,3.53
30.87781,3.53
30.89781,3.39
