time,DegOfDev
26.89959,1.61
26.91959,1.8
26.93959,1.88
26.95959,2.1
26.97959,2.3
26.99959,2.53
27.01959,2.76
27.03959,3.07
27.05959,3.23
27.07959,3.4
27.09959,3.58
27.11959,3.87
27.13959,4.11
27.15959,4.32
27.17959,4.6
27.19959,4.82
27.21959,5.09
27.23959,5.39
27.26059,5.55
27.28059,5.72
27.30059,5.95
27.31959,6.28
27.33959,6.46
27.36059,6.64
27.38059,6.93
27.40059,7.25
27.42059,7.41
27.44059,7.64
27.46059,7.91
27.48059,8.2
27.50059,8.43
27.52059,8.7
27.53959,8.86
27.55959,8.95
27.57959,9.11
27.59959,9.19
27.61959,9.29
27.63959,9.31
27.65959,9.39
27.67959,9.55
27.69959,9.63
27.71959,9.71
27.74059,9.83
27.76059,10.02
27.78059,10.19
27.80059,10.29
27.81959,10.47
27.83959,10.52
27.85959,10.76
27.88059,10.81
27.90059,10.82
27.92059,10.85
27.94059,10.88
27.96059,10.89
27.98059,10.95
28.00059,10.96
28.02059,10.93
28.04059,10.98
28.06059,11.08
28.08059,11.12
28.10059,11.16
28.12059,11.26
28.14059,11.31
28.16059,11.36
28.18059,11.43
28.20059,11.39
28.22059,11.36
28.24059,11.26
28.26059,11.21
28.28059,11.21
28.30059,11.28
28.32059,11.28
28.34059,11.25
28.36059,11.23
28.38059,11.2
28.40059,11.14
28.42059,11.1
28.44059,11.11
28.46059,10.92
28.48059,10.76
28.50059,10.65
28.52059,10.5
28.54059,10.24
28.56059,10.1
28.58059,9.99
28.60059,9.78
28.62059,9.61
28.64059,9.53
28.66059,9.32
28.68059,8.84
28.70059,8.6
28.72059,8.49
28.74059,8.32
28.76059,8.13
28.78059,8.07
28.80059,7.95
28.82059,7.75
28.84059,7.58
28.86059,7.39
28.88059,7.17
28.90059,6.96
28.92059,6.74
28.94059,6.53
28.96059,6.34
28.98059,6.16
29.00059,5.91
29.02059,5.64
29.04059,5.3
29.06059,5.15
29.08059,4.77
29.10059,4.44
29.12059,4.19
29.14059,3.87
29.16059,3.48
29.18059,3.16
29.20059,2.96
29.22059,2.86
29.24059,2.86
29.26059,2.74
29.28059,2.63
29.30059,2.53
29.32059,2.52
29.34059,2.54
29.36059,2.55
29.38059,2.36
29.40059,2.13
29.42059,2.12
29.44059,1.97
29.46059,1.87
29.48059,1.64
29.50059,1.62
29.52059,1.67
29.54059,1.5
29.56059,1.3
29.58059,1.18
29.60059,1.09
29.62059,1.11
29.64059,1.17
29.66059,1.32
29.68059,1.46
29.70059,1.62
29.72059,1.82
29.74059,1.86
29.76059,1.85
29.78059,1.71
29.80059,1.6
29.82059,1.28
29.84059,0.97
29.86059,0.83
29.88059,0.79
29.90059,0.87
29.92059,0.99
29.94059,1
29.96059,0.9
29.98059,0.99
30.00059,1.1
30.02059,1.01
30.04059,0.99
30.06059,0.9
30.08059,0.71
30.10059,0.67
30.12059,0.67
30.14059,0.67
30.16059,0.65
