time,RevoPMin
308.8736,1229
308.8936,1230
308.9136,1236
308.9336,1240
308.9536,1246
308.9736,1246
308.9936,1246
309.0136,1251
309.0336,1259
309.0536,1260
309.0736,1263
309.0936,1265
309.1136,1268
309.1336,1276
309.1536,1279
309.1736,1280
309.1936,1282
309.2136,1290
309.2336,1295
309.2536,1296
309.2736,1295
309.2936,1298
309.3136,1305
309.3336,1307
309.3536,1306
309.3736,1302
309.3936,1305
309.4136,1311
309.4336,1316
309.4536,1320
309.4736,1323
309.4936,1324
309.5136,1326
309.5336,1324
309.5536,1327
309.5736,1330
309.5936,1341
309.6136,1346
309.6336,1345
309.6536,1349
309.6736,1349
309.6936,1353
309.7136,1354
309.7336,1358
309.7536,1373
309.7736,1379
309.7936,1385
309.8136,1386
309.8336,1390
309.8536,1398
309.8736,1405
309.8936,1406
309.9136,1405
309.9336,1413
309.9536,1417
309.9726,1415
309.9926,1416
310.0136,1422
310.0326,1422
310.0526,1423
310.0726,1424
310.0926,1428
310.1126,1436
310.1326,1438
310.1526,1437
310.1726,1442
310.1926,1451
310.2126,1455
310.2326,1458
310.2526,1460
310.2726,1469
310.2926,1474
310.3126,1479
310.3326,1486
310.3526,1495
310.3726,1499
310.3926,1499
310.4126,1503
310.4326,1511
310.4526,1515
310.4726,1517
310.4926,1521
310.5126,1525
310.5326,1526
310.5526,1524
310.5726,1526
310.5926,1536
310.6126,1540
310.6326,1542
310.6526,1548
310.6726,1556
310.6926,1558
310.7126,1558
310.7326,1569
310.7526,1575
310.7726,1578
310.7926,1578
310.8126,1587
310.8326,1590
310.8526,1593
310.8726,1589
310.8926,1602
310.9126,1603
310.9326,1601
310.9526,1605
310.9726,1618
310.9926,1625
311.0126,1630
311.0326,1634
311.0526,1637
311.0726,1640
311.0926,1638
311.1126,1651
311.1326,1658
311.1526,1664
311.1726,1668
311.1926,1675
311.2126,1677
311.2326,1672
311.2526,1683
311.2726,1687
311.2926,1692
311.3126,1694
311.3326,1702
311.3526,1707
311.3726,1705
311.3926,1708
311.4126,1713
311.4326,1718
311.4526,1719
311.4726,1729
311.4926,1735
311.5126,1736
311.5326,1745
311.5526,1750
311.5726,1753
311.5926,1753
311.6126,1760
311.6316,1767
311.6526,1763
311.6726,1769
311.6926,1773
311.7126,1775
311.7326,1776
311.7526,1785
311.7726,1789
311.7926,1788
311.8116,1797
311.8316,1799
311.8516,1796
311.8716,1804
311.8916,1811
311.9116,1810
311.9316,1809
311.9516,1821
311.9716,1825
311.9916,1822
312.0116,1829
312.0316,1836
312.0516,1832
312.0716,1844
312.0916,1854
312.1116,1849
312.1316,1856
312.1516,1864
312.1716,1861
312.1916,1859
312.2116,1873
312.2316,1876
312.2516,1879
312.2716,1886
312.2916,1889
312.3116,1887
312.3316,1895
312.3516,1892
312.3716,1884
312.3916,1884
312.4116,1876
312.4316,1874
312.4516,1874
312.4716,1868
312.4916,1857
312.5116,1857
312.5316,1878
312.5516,1859
312.5716,1821
312.5916,1797
312.6116,1766
312.6316,1745
312.6516,1727
312.6716,1706
312.6916,1675
312.7116,1659
312.7316,1640
312.7516,1620
312.7716,1600
312.7916,1580
